Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOBBY_RANDOM_SONG_IF_NONE_SUGGESTED,,Random Song If None Suggested,Morceau aléatoire en l'absence de suggestion,Canción aleatoria si no hay ninguna sugerida,"Zufälliger Song, wenn nichts vorgeschlagen wird",Brano Casuale Se Nessuno Suggerito,Música Aleatória se nenhuma for sugerida,,Случайная песня если ни одной не предложено,,,,,Slumpmässig Låt Om Ingen Föreslås,Willekeurige nummer als niets wordt voorgesteld,,,提案なしの場合はランダム曲,没有推荐歌曲时随机选曲,沒有推薦關卡時隨機選曲,아무것도 선택되지 않을 시 무작위 곡,,"Véletlenszerű dal, ha nincs javaslat",,,,שיר רנדומלי אם אף שיר לא הומלץ,,,,
LOBBY_AUTO_START_ALL_READY,,Auto Start When All Ready,Démarrage automatique quand tout le monde est prêt,Inicio automático cuando todo esté listo,"Autom. Start, wenn alle bereit sind",Avvio Automatico Quando Tutti Sono Pronti,Início Automático Quando Todos Estiverem Prontos,,Автозапуск когда все готовы,,,,,Starta automatiskt när alla är redo,Automatisch starten wanneer iedereen klaar is,,,準備完了でオートスタート,全员准备后自动开始,準備就緒後自動開始,모두 준비되면 자동 시작,,"Auto. indítás, ha mindenki kész",,,,התחל אוטומטי שכולם מוכנים,,,,
PLAYERS,,Players,Joueurs,Jugadores,Spieler,Giocatori,Jogadores,,Игроки,,,,,Spelare,Spelers,,,プレイヤー,玩家,玩家,플레이어,,Játékosok,,,,שחקנים,,,,
LABEL_CHOOSE_COLORS,,Choose Colors,Choisir des couleurs,Seleccionar colores,Farben auswählen,Scegli i colori,Escolher Cores,,Выбрать цвета,,,,,Välj färger,Kleuren kiezen,,,色を選択,选择颜色,選擇顏色,색상 선택,,Színek kiválasztása,,,,בחרו צבעים,,,,
LABEL_NEXT_LEVEL,,Next Level,Niveau suivant,Siguiente nivel,Nächstes Level,Prossimo Livello,Próximo Nível,,След. уровень,,,,,Nästa Bana,Volgend level,,,次のステージ,下一关,下一關,다음 레벨,,Következő pálya,,,,שלב הבא,,,,
LABEL_RELEASE_NOTES,,Release Notes,Notes de mise à jour,Liberar notas,Versionshinweise,Note di rilascio,Notas de Versão,,Список изменений,,,,,Ändringslogg,Release Notes,,,リリースノート,更新信息,更新紀錄,릴리스 노트,,Frissítési jegyzék,,,,הערות שחרור,,,,
LABEL_UNEXPECTED_ERROR_OCCURED,,An unexpected error occurred,Une erreur inattendue est survenue,Ha ocurrido un error inesperado,Ein unerwarteter Fehler ist aufgetreten,Si è verificato un errore imprevisto,Um erro inesperado ocorreu,,Произошла непредвиденная ошибка,,,,,Ett okänt fel uppstod,Er is een onverwachte fout opgetreden,,,予期しないエラーが発生しました,发生了预料外的错误,發生意外的錯誤,예상하지 못한 오류가 발생했습니다,,Váratlan hiba történt,,,,שגיאה לא צפויה התרחשה,,,,
LABEL_SPECTATING_SPOT,,Spectating Spot,Emplacement de spectateur,Punto de observación,Zuschauerplatz,Posizione da Spettatore,Ponto de Espectador,,Место для зрителя,,,,,Åskådar Plats,Toeschouwers Spot,,,観戦場所,旁观视角,旁觀視角,관전 지점,,Nézőpont,,,,מקום הצפייה,,,,
LABEL_GRANDSTAND,,Grandstand,Tribune,Tribuna,Tribüne,Tribuna,Bancada,,Трибуна,,,,,Grandställ,Kampioenenplek,,,グランドスタンド,观众席,觀眾席,관람석,,Tribün,,,,היציע,,,,
TITLE_QUICK_PLAY_COUNTDOWN,,Quick Play Countdown,Décompte de partie rapide,Cuenta regresiva de partida rápida,Countdown zum schnellen Spiel,Conto alla Rovescia Gioco Rapido,Contagem Regressiva do Jogo Rápido,,Обратный отсчёт,,,,,Snabb Spel Nedräkningen,Snel spelen countdown,,,クイックプレイカウントダウン,快速匹配倒计时,快速進房倒數,빠른 플레이 카운트다운,,Visszaszámlálás gyors játékig,,,,ספירה לאחור בשרת רנדומלי,,,,
LABEL_CHECKING_SERVER_STATUS,,Checking Server Status,Vérification de l'état du serveur,Revisando el estado del servidor,Serverstatus wird überprüft,Controllo Stato Server,Verificando Estado do Servidor,,Проверка состояния сервера,,,,,Kontrollerar Server Status,Serverstatus controleren,,,サーバー状態の確認,正在检查服务器状态,正在確認伺服器狀態,서버 상태 확인 중,,A szerver állapotának ellenőrzése,,,,בודק את מצב השרתים,,,,
CREDITS_ADDITIONAL_VFX,,Additional VFX,Effets visuels supplémentaires,VFX adicionales,Zusätzliche visuelle Effekte,Effetti Aggiuntivi,VFX Adicional,,Дополнительные VFX,,,,,Ytterligare VFX,Aanvullende VFX,,,追加VFX,额外特效,額外特效,추가 VFX,,További VFX,,,,VFX נוספים,,,,
CREDITS_DEVELOPMENT_PROJECT_MANAGER,,Development Project Manager,Chef de projet de développement,Gerente del Proyecto de Desarrollo,Projektmanagement Entwicklung,Development Project Manager,Gerente de Projeto de Desenvolvimento,,Менеджер проекта разработки,,,,,Utvecklings Projekt Ledare,Ontwikkelingsprojectmanager,,,開発プロジェクトマネージャー,开发项目管理器,開發專案管理,개발 프로젝트 매니저,,Fejlesztési projektmenedzser,,,,מנהל פיתוח הפרויקט,,,,
CREDITS_OCULUS_STUDIOS,,Facebook Reality Labs,Facebook Reality Labs,Facebook Reality Labs,Facebook Reality Labs,Facebook Reality Labs,Facebook Reality Labs,,Лаборатория Реальности Facebook,,,,,Facebook Reality Labs,Facebook Reality Labs,,,Facebook Reality Labs,脸书现实实验室,臉書實境實驗室,Facebook Reality Labs,,Facebook Reality Labs,,,,Facebook Reality Labs,,,,
CREDITS_OPERATIONS_LEAD,,Operations Lead,Responsable des opérations,Jefe de Operaciones,Betriebsleiter,Operations Lead,Líder de Operações,,Ведущий оператор,,,,,Verksamheten Lead,Operatie Hoofd,,,オペレーションリーダー,运营主管,營運主管,오퍼레이션 리드,,Műveleti vezető,,,,מוביל התפעול,,,,
CREDITS_PRODUCER,,Producer,Producteur,Productor,Produzenten,Produttore,Produtor,,Продюсер,,,,,Producent,Producer,,,プロデューサー,制作者,制作者,프로듀서,,Producer,,,,מפיק,,,,
CREDITS_HEAD_OF_CONTENT_STRATEGY,,Head of Content Strategy,Responsable de la stratégie de contenu,Jefe de Estrategia de Contenido,Leitung Content-Strategie,Head of Content Strategy,Chefe de Estratégia de Conteúdo,,Руководитель контентной стратегии,,,,,Chef för Innehållsstrategi,Hoofd van inhoudsstrategie,,,コンテンツ戦略担当,内容策略主管,內容策略主管,콘텐츠 전략 담당,,Tartalmi stratégia vezetője,,,,ראש תכנון התוכן,,,,
LABEL_CANT_START_GAME_ALL_PLAYERS_SPECTATING,,All players are spectating,Tous les joueurs sont spectateurs,Todos los jugadores están observando,Alle Spieler schauen zu,Tutti i giocatori stanno osservando,Todos os jogadores estão assistindo,,Все игроки наблюдают,,,,,Alla spelar åskådar,Alle spelers zijn gaan toekijken,,,全てのプレイヤーが観戦しています,所有玩家都在观看,所有玩家都在旁觀,모든 플레이어가 관전 중입니다,,Minden játékos néző,,,,כל המשתתפים במצב צפייה,,,,
LABEL_CANT_START_GAME_NO_SONG_SELECTED,,No song selected,Aucun morceau sélectionné,No hay canción seleccionada,Kein Song ausgewählt,Nessun brano selezionato,Nenhuma música selecionada,,Песня не выбрана,,,,,Ingen Låt Vald,Geen nummer geselecteerd,,,曲が選択されていません,当前没有已选择的歌曲,當前沒有已選擇的歌曲,선택한 곡 없음,,Nincs dal kiválasztva,,,,לא נבחר שיר,,,,
LABEL_CANT_START_GAME_ALL_PLAYERS_NOT_IN_LOBBY,,Not all players are back in lobby,Il manque des joueurs dans le salon,No todos los jugadores han regresado al lobby,Alle Spieler schauen zu,Non tutti i giocatori sono tornati nella lobby,Nem todos os jogadores voltaram à sala,,Не все игроки вернулись в лобби,,,,,Alla spelare är inte tillbaka i lobbyn,Niet alle spelers zijn terug in de lobby,,,全てのプレイヤーがロビーに戻っていません,有玩家还在游戏中,還有玩家正在遊戲中,로비에 돌아오지 않은 플레이어가 있습니다,,Még nem érkezett vissza minden játékos a lobbiba,,,,לא כל המשתתפים חזרו ללובי,,,,
LABEL_CANT_START_GAME_DO_NOT_OWN_SONG,,Do not own the song,Morceau non possédé,No posees la canción,Song nicht in Besitz,Non possiedi il brano,Não possui esta música,,Не владейте песней,,,,,Äger inte låten,Je hebt dit nummer niet in je bezit,,,この曲を所有していません,未拥有此歌曲,未擁有此歌曲,곡을 보유하고 있지 않습니다,,Nem rendelkezik ezzel a dallal,,,,לא קניתם את השיר זה,,,,
LABEL_DO_NOT_OWN_SONG,,You do not own this song,Vous ne possédez pas ce morceau,No posees esta canción,Der Song ist nicht in deinem Besitz,Tu non possiedi questo brano,Você não possui esta música,,У вас нет этой песни,,,,,Du äger inte denna låt,Je hebt dit nummer niet in je bezit,,,この曲を所有していません,你没拥有该曲目,你沒有此歌曲,이 곡은 보유하고 있지 않습니다,,Nem rendelkezel ezzel a dallal,,,,לא קניתם את השיר הזה,,,,
BUTTON_PREVIOUS,,Previous,Précédent,Anterior,Zurück,Precedente,Voltar,,Предыдущий,,,,,Föregående,Vorige,,,前,预览,上一個,이전,,Előző,,,,קודם,,,,
BUTTON_CREATE_AVATAR,,Create Avatar,Créer un avatar,Crear Avatar,Avatar erstellen,Crea Avatar,Criar Avatar,,Создать персонажа,,,,,Skapa Avatar,Maak avatar,,,アバターを作成,创建人物,創建人物,아바타 생성,,Avatár létrehozása,,,,יצירת דמות,,,,
LABEL_SEARCH,,Search,Rechercher,Buscar,Suche,Cerca,Pesquisar,,Поиск,,,,,Sök,Zoek,,,検索,搜索,搜尋,검색,,Keresés,,,,חיפוש,,,,
LABEL_WAITING_FOR_SONG_DOWNLOAD,,Downloading song,Téléchargement du morceau,Descargando canción,Song-Download läuft,Scaricamento brano,Baixando música,,Загрузка песни,,,,,Laddar ned låt,Nummer wordt gedownload,,,曲をダウンロードしています,正在下载歌曲,正在下載歌曲,곡 다운로드 중,,Dal letöltése,,,,מוריד את השיר,,,,
BUTTON_END_GAME,,End Game,Arrêter la partie,Terminar partida,Spiel beenden,Termina partita,Terminar Partida,,Завершить игру,,,,,Avsluta spel,Stop spel,,,ゲームを終了,结束游戏,結束遊戲,게임 종료,,Játék befejezése,,,,סיים משחק,,,,
PLAYER_OPTIONS_SP_ONLY,,Singleplayer Options Only,Options solo uniquement,Opciones exclusivas para un jugador,Nur Einzelspieler-Optionen,Opzioni Solo Giocatore Singolo,Opções Apenas para Um Jogador,,Настройки только для одиночной игры,,,,,Enspelaralternativ Endast,Enkel beschikbaar in singleplayer,,,シングルプレイヤーオプションのみ,仅单人模式选项,僅限於單人模式選項,싱글플레이어 옵션만,,Csak egyjátékos beállítások,,,,הגדרות של חד משתתפים בלבד,,,,
PLAYER_SETTINGS_NJBSO,,Note Jump Offset,Décalage du saut des notes,Nota de Salto para Compensar,Noten-Sprung-Offset,Offset Salto nota,Compensar Pulo de Nota,,Расстояние до точки прыжка нот,,,,,Block Hopp Fördröjning,Note Jump Offset,,,音符ジャンプオフセット,方块出生距离偏移值,音符生成距離位移,음표 점프 오프셋,,Hangjegy ugrásának eltolása,,,,מרחק הזימון של הקוביות,,,,
SETTINGS_LANGUAGE,,Language,Langue,Idioma,Sprache,Lingua,Idioma,,Язык,,,,,Språk,Taal,,,言語,语言,語言 (Language),언어,,Nyelv,,,,שפה,,,,
BUTTON_PLAYER_OPTIONS,,Player Options,Options du joueur,Opciones de jugador,Spieleroptionen,Opzioni giocatore,Opções de Jogador,,Игрок,,,,,Spelarinställningar,Spelers opties,,,プレイヤーオプション,玩家选项,玩家選項,플레이어 옵션,,Játékosbeállítások,,,,הגדרות השחקן,,,,
BUTTON_YES,,Yes,Oui,Sí,Ja,Sì,Sim,,Да,,,,,Ja,Ja,,,はい,是,是,네,,Igen,Da,,,כן,,,,
BUTTON_NO,,No,Non,No,Nein,No,Não,,Нет,,,,,Nej,Nee,,,いいえ,否,否,아니요,,Nem,Nu,,,לא,,,,
PLACEHOLDER_ENTER_NAME,,Enter Name,Saisir un nom,Ingresar nombre,Namen eingeben,Inserisci Nome,Digite o Nome,,Введите имя,,,,,Ange namn,Vul naam in,,,名前を入力,输入名称,輸入名稱,이름을 입력하세요,,Név megadása,,,,הכניסו שם,,,,
PLACEHOLDER_SERVER_PASSWORD,,Server Password,Mot de passe du serveur,Contraseña del servidor,Server-Passwort,Password Server,Senha do Servidor,,Пароль сервера,,,,,Server Lösenord,Server wachtwoord,,,サーバーパスワード,房间密码,房間代碼,서버 비밀번호,,Szerverjelszó,,,,סיסמת השרת,,,,
DISCONNECTED_UNKNOWN,,Disconnected<br>Check your internet connection and try again,Déconnecté<br>Vérifiez votre connexion Internet et réessayez,Desconectado<br>Revisa tu conexión de internet e inténtalo de nuevo,Verbindung getrennt<br>Überprüfe deine Internetverbindung und versuche es erneut,Disconnesso<br>Verifica la tua connessione internet e riprova,Desconectado<br>Verifique sua conexão com a internet e tente novamente,,Отключен<br>Проверьте ваше соединение с интернетом и попробуйте еще раз,,,,,Frånkopplad<br>Kontrollera din internetanslutning och försök igen,Verbinding verbroken<br>Controleer je internetverbinding en probeer later opnieuw,,,切断しました<br>インターネット接続を確認し、再試行してください,失去连接<br>检查您的网络连接，然后再试。,失去連線<br>請檢查您的網絡連線，然後再試一次。,연결 끊김<br>인터넷 연결을 확인하고 다시 시도하세요,,"Lecsatlakoztatva<br>Ellenőrizd az internetkapcsolatot, majd próbáld újra",,,,התנתק<br>תבדקו את האינטרנט שלכם ותנסו שוב,,,,
DISCONNECTED_USER_INITIATED,,Disconnected<br>User initiated,Déconnecté<br>Par l'utilisateur,Desconectado<br>Usuario iniciado,Verbindung getrennt<br>Vom Benutzer ausgelöst,Disconnesso<br>L'Utente ha avviato,Desconectado<br>Usuário iniciado,,Отключено<br>Пользователь инициирован,,,,,Frånkopplad<br>användare initierad,Verbinding verbroken<br>,,,切断されました<br>ユーザー操作,失去连接<br>用户已初始化。,失去連線<br>用戶已初始化。,연결 끊김<br>시작한 사용자입니다,,Lecsatlakoztatva<br>Felhasználó által,,,,התנתק<br>המשתמש התחיל את השיר,,,,
DISCONNECTED_TIMEOUT,,Disconnected<br>Connection to server timed out,Déconnecté<br>Temps de réponse du serveur excédé,Desconectado<br>La conexión al servidor expiró,Verbindung getrennt<br>Zeitüberschreitung bei Verbindung zum Server,Disconnesso<br>Il Server non ha risposto,Desconectado<br>O servidor expirou,,Отключен<br>Время сервера истекло,,,,,Frånkopplad<br>Anslutning till servern avbröts,Verbinding verbroken<br>Server timed out,,,切断されました<br>サーバーへの接続がタイムアウトしました,失去连接<br>服务器超时退出。,失去連線<br>連線逾時。,연결 끊김<br>서버 연결 시간이 만료됐습니다,,Lecsatlakoztatva<br>A szerver túllépte az időkorlátot,,,,התנתק<br>התחברות לשרת נמשך יותר מידי זמן,,,,
DISCONNECTED_KICKED,,Disconnected<br>You have been kicked,Déconnecté<br>Vous avez été éjecté,Desconectado<br>Has sido expulsado,Verbindung getrennt<br>Du wurdest rausgeschmissen,Disconnesso<br>Sei stato espulso,Desconectado<br>Você foi expulso,,Отключен<br> Вас выгнали,,,,,Frånkopplad<br>Du har blivit sparkad,Verbinding verbroken<br>Je bent uit de lobby verwijderd.,,,切断しました<br>ホストユーザのキックによって退出しました,失去连接<br>您已被踢出。,失去連線<br>您已被踢出。,연결 끊김<br>추방되었습니다,,Lecsatlakoztatva<br>Kirúgtak,,,,התנתק<br>העיפו אתכם מהסרבר,,,,
DISCONNECTED_SERVER_AT_CAPACITY,,Disconnected<br>Server is at capacity,Déconnecté<br>Le serveur est plein,Desconectado<br>El servidor está a su máxima capacidad,Verbindung getrennt<br>Server-Kapazität erreicht,Disconnesso<br>Il server è a capacità,Desconectado<br>Sevidor atingiu a capacidade máxima,,Отключен<br>Сервер перегружен,,,,,Frånkopplad<br>Servern är på kapacitet,Verbinding verbroken<br>De server is vol,,,切断されました<br>サーバー限度,失去连接<br>服务器已达负荷。,失去連線<br>房間已滿。,연결 끊김<br>서버 수용량이 최대입니다,,Lecsatlakoztatva<br>A szerver betelt,,,,התנתק<br>השרת מלא,,,,
DISCONNECTED_SERVER_SHUT_DOWN,,Disconnected<br>Server was shut down,Déconnecté<br>Le serveur a été fermé,Desconectado<br>El servidor fue apagado,Verbindung getrennt<br>Server wurde heruntergefahren,Disconnesso<br>Il server è stato spento,Desconectado<br>O servidor foi desligado,,Отключен<br>Сервер был выключен,,,,,Frånkopplad<br>Server stängdes av,Verbinding verbroken<br>De server was afgesloten,,,切断しました<br>サーバがシャットダウンされました,失去连接<br>服务器已关闭。,失去連線<br>房間已關閉。,연결 끊김<br>서버가 정지됐습니다,,Lecsatlakoztatva<br>A szerver leállt,,,,התנתק<br>השרת נסגר,,,,
DISCONNECTED_MASTER_SERVER_UNREACHABLE,,Disconnected<br>Check your internet connection and try again.,Déconnecté<br>Vérifiez votre connexion Internet et réessayez.,Desconectado<br>Revisa tu conexión de internet e inténtalo de nuevo.,Verbindung getrennt<br>Überprüfe deine Internetverbindung und versuche es erneut.,Disconnesso<br>Verifica la tua connessione internet e riprova.,Desconectado<br>Verifique sua conexão com a internet e tente novamente.,,Отключен<br>Проверьте ваше соединение с интернетом и попробуйте еще раз.,,,,,Frånkopplad<br>Kontrollera din internetanslutning och försök igen.,Verbinding verbroken<br>Controleer je internetverbinding en probeer later opnieuw.,,,切断しました<br>インターネット接続を確認し、再試行してください,断线<br>检查您的互联网连接并重新尝试。,失去連線<br>請檢查您的網絡連線，然後再試一次。,연결 끊김<br>인터넷 연결을 확인하고 다시 시도하세요.,,"Lecsatlakoztatva<br>Ellenőrizd az internetkapcsolatot, majd próbáld újra.",,,,התנתק<br>תבדקו את האינטרנט שלכם ותנסו שוב.,,,,
MULTIPLAYER_UNAVAILABLE_SERVER_OFFLINE,,Multiplayer Unavailable<br>Server is offline,Multijoueur indisponible<br>Les serveurs sont hors-ligne,Multijugador no Disponible<br>El servidor está desconectado,Mehrspieler nicht verfügbar<br>Server ist offline,Multigiocatore non disponibile<br>Il server è offline,Multijogador Indisponível<br>Servidor está indisponível,,Мультиплеер Недоступен<br>Сервер оффлайн,,,,,Fler Spelare Otillgänglig<br>Server är offline,Multiplayer onbeschikbaar<br>Server is offline,,,マルチプレイは利用できません<br>サーバがオフラインです,多人游戏不可用<br>服务器离线,無法進入多人遊戲<br>伺服器離線,멀티플레이어 이용 불가<br>서버가 오프라인입니다,,A többjátékos mód nem elérhető<br>A szerver offline,,,,רב משתתפים אינו נגיש<br>השרתים כבויים,,,,
MULTIPLAYER_UNAVAILABLE_UPDATE_REQUIRED,,Multiplayer Unavailable<br>Beat Saber update is required,Multijoueur indisponible<br>Beat Saber doit être mis à jour,Multijugador no Disponible<br>Se necesita una actualización de Beat Saber,Mehrspieler nicht verfügbar<br>Update für Beat Saber erforderlich,Multiplayer non disponibile<br>Aggiornamento di Beat Saber necessario,Multijogador Indisponível<br>É necessária atualizar o Beat Saber,,Мультиплеер недоступен<br>Требуется обновление игры,,,,,Fler Spelare Otillgänglig<br>Beat Saber uppdatering krävs,Multiplayer onbeschikbaar<br>Beat Saber update is vereist,,,マルチプレイは利用できません<br>BeatSaberのアップデートが必要です,多人游戏不可用<br>需要更新Beat Saber。,無法進入多人遊戲<br>需要更新Beat Saber。,멀티플레이어 이용 불가<br>Beat Saber 업데이트가 필요합니다,,A többjátékos mód nem elérhető<br>Beat Saber-frissítés szükséges,,,,רב משתתפים אינו נגיש<br>עליכם לעדכן את ביט סייבר,,,,
MULTIPLAYER_UNAVAILABLE_MAINTENANCE_MODE,,Multiplayer Unavailable<br>Maintenance ends at {0},Multijoueur inaccessible<br>L'entretien finit à {0},Multijugador no Disponible<br>El período de mantenimiento termina en {0},Mehrspieler nicht verfügbar<br>Wartung endet um {0},Multigiocatore non disponibile<br>La manutenzione termina alle {0},Multijogador Indisponível<br>Manutenção termina em {0},,Мультиплеер Недоступен<br>Обслуживание заканчивается в {0},,,,,Fler Spelare Otillgänglig<br>Maintenance slutar om {0},Multiplayer onbeschikbaar<br>Onderhoud eindigt op {0,,,マルチプレイは利用できません<br>{0} までメンテナンス中です,多人游戏不可用<br>维护结束于{0}。,無法進入多人遊戲<br>維護結束於{0}。,멀티플레이어 이용 불가<br>이용 점검 종료: {0},,A többjátékos mód nem elérhető<br>A karbantartás ekkor ér véget: {0},,,,רב משתתפים אינו נגיש<br>השיפוצים יסתיימו ב{0},,,,
MULTIPLAYER_UNAVAILABLE_TRY_AGAIN,,Multiplayer Unavailable<br>Check your internet connection and try again,Multijoueur indisponible<br>Vérifiez votre connexion Internet et réessayez,Multijugador no Disponible<br>Revisa tu conexión de internet e inténtalo de nuevo,Mehrspieler nicht verfügbar<br>Prüfe deine Internetverbindung und versuche es erneut,Multigiocatore non disponibile<br>Verifica la tua connessione internet e riprova,Multijogador Indisponível<br>Verifique sua conexão com a internet e tente novamente,,Мультиплеер недоступен<br>Проверьте подключение к Интернету и повторите попытку,,,,,Fler Spelare Otillgänglig<br>Kontrollera din internetanslutning och försök igen,Multiplayer onbeschikbaar<br>Controleer je internetverbinding en probeer later opnieuw,,,マルチプレーヤーを利用できません<br>インターネットへの接続を確認して再実行してください,多人游戏不可用<br>检查你的网络连接，然后再试,無法進入多人遊戲<br>請檢查您的網絡連線，然後再試一次。,멀티플레이어 이용 불가<br>인터넷 연결을 확인하고 다시 시도하세요,,"A többjátékos mód nem elérhető<br>Ellenőrizd az internetkapcsolatot, majd próbáld újra",,,,רב משתתפים אינו נגיש<br>תבדקו את האינטרנט שלכם ותנסו שוב,,,,
NO_NAME_PLAYER,,No Name,Aucun nom,Sin nombre,Kein Name,Nessun nome,Sem Nome,,Без имени,,,,,Inget Namn,Geen naam,,,名前なし,匿名,匿名,이름 없음,,Névtelen,,,,חסר שם,,,,
BUTTON_UNREADY,,Unready,Pas prêt,No preparado,Nicht bereit,Non Pronto,Não Pronto,,Не готов,,,,,Oredo,Niet meer klaar,,,準備未完了,取消准备,取消準備,준비 취소,,Mégse,,,,לא מוכן/ה,,,,
SUGGEST_BEATMAP_AND_MODIFIERS,,Suggest Beatmap And Modifiers,Suggérer un morceau et des modificateurs,Sugerir Beatmap y modificadores,Beatmap und Modifikatoren vorschlagen,Suggerisci Beatmap E Modificatori,Sugerir Beatmap e Modificadores,,Предложить карту и модификаторы,,,,,Föreslå Beatmap och Modifierare,Suggereer Beatmap en Modifiers,,,ビートマップとルール変更を提案,推荐歌曲和修改项,推薦歌曲和修改器,추천 비트맵 및 모디파이어,,Ütemtábla és módosítók javaslása,,,,המליצו מפת שיר ושינויים,,,,
SUGGEST_BEATMAP,,Suggest Beatmap,Proposer un morceau,Sugerir Beatmap,Beatmap vorschlagen,Beatmap Suggerita,Sugerir Beatmap,,Предложить карту,,,,,Föreslå Beatmap,Suggereer Beatmap,,,ビートマップを提案,推荐歌曲,推薦歌曲,추천 비트맵,,Ütemtábla javaslása,,,,המליצו מפת שיר,,,,
LABEL_DEFAULT,,Default,Par défaut,Predeterminado,Standard,Predefinito,Padrão,,По умолчанию,,,,,Standard,Basis optie,Domyślne,,デフォルト,默认,預設,기본,,Alapértelmezett,Standard,,,ברירת מחדל,,,,
BUTTON_OPTIONS,,Options,Options,Opciones,Optionen,Opzioni,Opções,,Настройки,,,,,Inställningar,Opties,,,オプション,选项,選項,옵션,,Beállítások,,,,אפשרויות,,,,
LABEL_OPTIONS,,Options,Options,Opciones,Optionen,Opzioni,Opções,,Настройки,,,,,Inställningar,Opties,,,オプション,选项,選項,옵션,,Beállítások,,,,אפשרויות,,,,
COUNTDOWN_READY,,READY!,À VOS MARQUES !,¡LISTO!,AUF DIE PLÄTZE!,READY!,EM SUAS MARCAS!,,НА СТАРТ!,,,,,KLARA!,READY!,,,READY!,准备！,READY!,READY!,,FELKÉSZÜLNI!,,,,היכון!,,,,
COUNTDOWN_SET,,SET!,PRÊTS !,¡YA!,FERTIG!,SET!,PREPARAR!,,ГОТОВСЬ!,,,,,FÄRDIGA!,SET!,,,SET!,就绪！,SET!,SET!,,VIGYÁZZ!,,,,הכן!,,,,
LABEL_PLAYERS_MISSING_ENTITLEMENT,,These players don't own this song,Ces joueurs ne possèdent pas ce morceau,Estos jugadores no poseen esta canción,Diese Spieler haben diesen Song nicht in Besitz,Questi giocatori non possiedono questo brano,Esses jogadores não possuem esta música,,У этих игроков нет этой песни,,,,,Dessa spelare äger inte denna låt,Deze spelers hebben dit nummer niet,,,この曲を所有していないユーザがいます,这些玩家没有这首歌,這些玩家沒有這首歌,해당 플레이어들은 이 곡을 보유하고 있지 않습니다,,Ezek a játékosok nem rendelkeznek ezzel a dallal,,,,לשחקנים האלו אין את השיר הנבחר,,,,
LABEL_KICK_PLAYER_PROMPT,,You are about to kick player {0}.<br>Are you sure?,Vous êtes sur le point d'expulser le joueur {0}.<br>Êtes-vous sûr ?,Estás a punto de expulsar al jugador {0}.<br>¿Estás seguro?,"Du bist dabei, {0} rauszuwerfen.<br>Möchtest du das wirklich?",Stai per espellere il giocatore {0}.<br>Sei sicuro?,Você está prestes a expulsar o jogador {0}.<br>Você tem certeza?,,Вы собираетесь выгнать игрока {0}.<br>Вы уверены?,,,,,Du är på väg att sparka spelare {0}.<br>Är du säker?,Je staat op het punt om speler {0} te verwijderen.<br>Weet je het zeker?,,,プレイヤー {0} を強制退出しようとしています。<br>本当によろしいですか？,你将踢出玩家{0}。<br>是否确认？,你將踢出玩家{0}。<br>是否確認？,플레이어 {0} 님을 추방하려고 합니다.<br>계속 하시겠습니까?,,Ezzel kirúgod {0}-t.<br>Biztos vagy ebben?,,,,אתם עומדים להעיף את השחקן {0}.<br>האם אתם בטוחים בזה?,,,,
LABEL_MULTIPLAYER_MAINTENANCE_UPCOMING,,Upcoming maintenance from {0} until {1},Entretien prévu de {0} à {1},Próximo período de mantenimiento desde {0} hasta {1},Anstehende Wartung von {0} bis {1},Prossima manutenzione da {0} fino a {1},Próxima manutenção de {0} até {1},,Предстоящее обслуживание с {0} до {1},,,,,Kommande maintenance från {0} till {1},Aankomend onderhoud van {0} tot {1},,,{0} ～ {1} の間に、メンテナンスを予定しています,服务器维护将从{0}持续至{1},伺服器維護將從 {0} 持續至 {1},{0} ~ {1} 동안 점검 예정입니다,,Karbantartás hamarosan {0}-tól {1}-ig,,,,הפסקת הרב משתתפים בשביל תיקונים מ{0} עד ל{1},,,,
HINT_HELP_BUTTON,,Help,Aide,Ayuda,Hilfe,Guida,Ajuda,,Помощь,,,,,Hjälp,Help,,,ヘルプ,帮助,幫助,지원,,Súgó,,,,עזרה,,,,
HINT_EDITOR_BUTTON,,Beatmap Editor,Éditeur de chansons,Editor de Beatmap,Beatmap-Editor,Beatmap Editor,Editor de Beatmap,,Редактор карт,,,,,Beatmap Redigerare,Beatmap Editor,,,ステージエディター,谱面编辑器,關卡編輯器,비트맵 편집기,,Ütemtábla-szerkesztő,,,,מעצב מפת השיר,,,,
HINT_OPTIONS_BUTTON,,Options,Options,Ajustes,Einstellungen,Opzioni,Opções,,Настройки,,,,,Inställningar,Instellingen,,,設定,设置,設定,설정,,Beállítások,,,,אפשרויות,,,,
HINT_EXIT_BUTTON,,Exit,Quitter,Salir,Verlassen,Esci,Sair,,Выход,,,,,Avsluta,Afsluiten,,,終了,退出,退出,나가기,,Kilépés,,,,יציאה,,,,
IN_MULTIPLAYER_LOBBY_PRESENCE,,In Multiplayer Lobby,Dans un salon multijoueur,En el lobby de Multijugador,In Mehrspieler-Lobby,Nella Lobby Multigiocatore,Em Sala Multijogador,,В лобби сетевой игры,,,,,I Flerspelarlobby,In Multiplayer Lobby,,,マルチプレイヤーロビー内,联机大厅内,在多人遊戲大廳裡,멀티플레이어 로비,,Többjátékos lobbiban,,,,בלובי רב משתתפים,,,,
